,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left,state
5866,0.969780445,1.079421,1.26,0.915185869,0.00461110473,-0.0059247613,-0.0581109375,0.0124743581,False,False,abnormal
5870,0.9758327,1.064888,1.24,0.9321999,0.003154397,-0.002414167,-0.0451789349,0.008239925,False,False,abnormal
5868,0.969780445,1.079421,1.26,0.915185869,0.00461110473,-0.0059247613,-0.0581109375,0.0124743581,False,False,abnormal
5871,0.9758327,1.064888,1.24,0.9321999,0.003154397,-0.002414167,-0.0451789349,0.008239925,False,False,abnormal
5869,0.9758327,1.064888,1.24,0.9321999,0.003154397,-0.002414167,-0.0451789349,0.008239925,False,False,abnormal
5872,0.9758327,1.064888,1.24,0.9321999,0.003154397,-0.002414167,-0.0451789349,0.008239925,False,False,abnormal
5873,0.9758327,1.064888,1.24,0.9321999,0.003154397,-0.002414167,-0.0451789349,0.008239925,False,False,abnormal
5875,0.9851222,1.04889464,1.22,0.950187862,0.0008812845,0.00153076649,-0.03363183,0.003753543,False,False,abnormal
5874,0.9851222,1.04889464,1.22,0.950187862,0.0008812845,0.00153076649,-0.03363183,0.003753543,False,False,abnormal
5877,0.9851222,1.04889464,1.22,0.950187862,0.0008812845,0.00153076649,-0.03363183,0.003753543,False,False,abnormal
5876,0.9851222,1.04889464,1.22,0.950187862,0.0008812845,0.00153076649,-0.03363183,0.003753543,False,False,abnormal
5878,0.9851222,1.04889464,1.22,0.950187862,0.0008812845,0.00153076649,-0.03363183,0.003753543,False,False,abnormal
5879,0.997506857,1.03160524,1.2,0.969129741,-0.00218328834,0.005851686,-0.023342818,-0.000970721245,False,False,abnormal
5881,0.997506857,1.03160524,1.2,0.969129741,-0.00218328834,0.005851686,-0.023342818,-0.000970721245,False,False,abnormal
5880,0.997506857,1.03160524,1.2,0.969129741,-0.00218328834,0.005851686,-0.023342818,-0.000970721245,False,False,abnormal
5882,1.01280642,1.01318049,1.18000007,0.9889328,-0.00597828627,0.0105014741,-0.0141431093,-0.00591054559,False,False,abnormal
5883,1.01280642,1.01318049,1.18000007,0.9889328,-0.00597828627,0.0105014741,-0.0141431093,-0.00591054559,False,False,abnormal
5886,1.01280642,1.01318049,1.18000007,0.9889328,-0.00597828627,0.0105014741,-0.0141431093,-0.00591054559,False,False,abnormal
5884,1.01280642,1.01318049,1.18000007,0.9889328,-0.00597828627,0.0105014741,-0.0141431093,-0.00591054559,False,False,abnormal
5885,1.01280642,1.01318049,1.18000007,0.9889328,-0.00597828627,0.0105014741,-0.0141431093,-0.00591054559,False,False,abnormal
5887,1.03074646,0.993798,1.16000009,1.00893283,-0.0104497373,0.0154261589,-0.00586411357,-0.0110477507,False,False,abnormal
